,year,led_c,x,value,sm_value,noise,nr_value
1,1962,1,1_V.St,0.0,0.0,,0.0
2,1962,2,1_V.St,0.0,0.0,,0.0
3,1962,3,1_V.St,0.0,0.0,,0.0
4,1962,4,1_V.St,0.0,0.0,,0.0
5,1962,5,1_V.St,0.0,0.0,,0.0
6,1962,6,1_V.St,0.0,0.0,,0.0
7,1962,7,1_V.St,0.0,0.0,,0.0
8,1962,8,1_V.St,0.0,0.0,,0.0
9,1962,9,1_V.St,0.0,0.0,,0.0
10,1962,10,1_V.St,0.0,0.0,,0.0
245,1963,1,1_V.St,0.0,0.0,,0.0
246,1963,2,1_V.St,0.0,0.0,,0.0
247,1963,3,1_V.St,0.0,0.0,,0.0
248,1963,4,1_V.St,0.0,0.0,,0.0
249,1963,5,1_V.St,0.0,0.0,,0.0
250,1963,6,1_V.St,0.0,0.0,,0.0
251,1963,7,1_V.St,0.0,0.0,,0.0
252,1963,8,1_V.St,0.0,0.0,,0.0
253,1963,9,1_V.St,0.0,0.0,,0.0
254,1963,10,1_V.St,0.0,0.0,,0.0
489,1964,1,1_V.St,0.0,0.0,,0.0
490,1964,2,1_V.St,0.0,0.0,,0.0
491,1964,3,1_V.St,0.0,0.0,,0.0
492,1964,4,1_V.St,0.0,0.0,,0.0
493,1964,5,1_V.St,0.0,0.0,,0.0
494,1964,6,1_V.St,0.0,0.0,,0.0
495,1964,7,1_V.St,0.0,0.0,,0.0
496,1964,8,1_V.St,0.0,0.0,,0.0
497,1964,9,1_V.St,0.0,0.0,,0.0
498,1964,10,1_V.St,0.0,0.0,,0.0
733,1965,1,1_V.St,0.0,0.0,,0.0
734,1965,2,1_V.St,0.0,0.0,,0.0
735,1965,3,1_V.St,0.0,0.0,,0.0
736,1965,4,1_V.St,0.0,0.0,,0.0
737,1965,5,1_V.St,0.0,0.0,,0.0
738,1965,6,1_V.St,0.0,0.0,,0.0
739,1965,7,1_V.St,0.0,0.0,,0.0
740,1965,8,1_V.St,0.0,0.0,,0.0
741,1965,9,1_V.St,0.0,0.0,,0.0
742,1965,10,1_V.St,0.0,0.0,,0.0
977,1966,1,1_V.St,0.0,0.0,,0.0
978,1966,2,1_V.St,0.0,0.0,,0.0
979,1966,3,1_V.St,0.0,0.0,,0.0
980,1966,4,1_V.St,0.0,0.0,,0.0
981,1966,5,1_V.St,0.0,0.0,,0.0
982,1966,6,1_V.St,0.0,0.0,,0.0
983,1966,7,1_V.St,0.0,0.0,,0.0
984,1966,8,1_V.St,0.0,0.0,,0.0
985,1966,9,1_V.St,0.0,0.0,,0.0
986,1966,10,1_V.St,0.0,0.0,,0.0
1221,1967,1,1_V.St,0.0,0.0,,0.0
1222,1967,2,1_V.St,0.0,0.0,,0.0
1223,1967,3,1_V.St,0.0,0.0,,0.0
1224,1967,4,1_V.St,0.0,0.0,,0.0
1225,1967,5,1_V.St,0.0,0.0,,0.0
1226,1967,6,1_V.St,0.0,0.0,,0.0
1227,1967,7,1_V.St,0.0,0.0,,0.0
1228,1967,8,1_V.St,0.0,0.0,,0.0
1229,1967,9,1_V.St,0.0,0.0,,0.0
1230,1967,10,1_V.St,0.0,0.0,,0.0
1465,1968,1,1_V.St,0.0,0.0,,0.0
1466,1968,2,1_V.St,0.0,0.0,,0.0
1467,1968,3,1_V.St,0.0,0.0,,0.0
1468,1968,4,1_V.St,0.0,0.0,,0.0
1469,1968,5,1_V.St,0.0,0.0,,0.0
1470,1968,6,1_V.St,0.0,0.0,,0.0
1471,1968,7,1_V.St,0.0,0.0,,0.0
1472,1968,8,1_V.St,0.0,0.0,,0.0
1473,1968,9,1_V.St,0.0,0.0,,0.0
1474,1968,10,1_V.St,0.0,0.0,,0.0
1709,1969,1,1_V.St,0.0,0.0,,0.0
1710,1969,2,1_V.St,0.0,0.0,,0.0
1711,1969,3,1_V.St,0.0,0.0,,0.0
1712,1969,4,1_V.St,0.0,0.0,,0.0
1713,1969,5,1_V.St,0.0,0.0,,0.0
1714,1969,6,1_V.St,0.0,0.0,,0.0
1715,1969,7,1_V.St,0.0,0.0,,0.0
1716,1969,8,1_V.St,0.0,0.0,,0.0
1717,1969,9,1_V.St,0.0,0.0,,0.0
1718,1969,10,1_V.St,0.0,0.0,,0.0
1953,1970,1,1_V.St,0.0,0.0,,0.0
1954,1970,2,1_V.St,0.0,0.0,,0.0
1955,1970,3,1_V.St,0.0,0.0,,0.0
1956,1970,4,1_V.St,0.0,0.0,,0.0
1957,1970,5,1_V.St,0.0,0.0,,0.0
1958,1970,6,1_V.St,0.0,0.0,,0.0
1959,1970,7,1_V.St,0.0,0.0,,0.0
1960,1970,8,1_V.St,0.0,0.0,,0.0
1961,1970,9,1_V.St,0.0,0.0,,0.0
1962,1970,10,1_V.St,0.0,0.0,,0.0
2197,1971,1,1_V.St,0.0,0.0,,0.0
2198,1971,2,1_V.St,0.0,0.0,,0.0
2199,1971,3,1_V.St,0.0,0.0,,0.0
2200,1971,4,1_V.St,0.0,0.0,,0.0
2201,1971,5,1_V.St,0.0,0.0,,0.0
2202,1971,6,1_V.St,0.0,0.0,,0.0
2203,1971,7,1_V.St,0.0,0.0,,0.0
2204,1971,8,1_V.St,0.0,0.0,,0.0
2205,1971,9,1_V.St,0.0,0.0,,0.0
