,year,led_c,x,value,nr_value
0,1962.0,0,1_V.St,0.0,0.0
1,1962.0,1,1_V.St,0.0,0.0
2,1962.0,2,1_V.St,0.0,0.0
3,1962.0,3,1_V.St,0.0,0.0
4,1962.0,4,1_V.St,0.0,0.0
5,1962.0,5,1_V.St,0.0,0.0
6,1962.0,6,1_V.St,0.0,0.0
7,1962.0,7,1_V.St,0.0,0.0
8,1962.0,8,1_V.St,0.0,0.0
9,1962.0,9,1_V.St,0.0,0.0
10,1962.0,10,1_V.St,0.0,0.0
11,1962.0,11,1_V.St,0.0,0.0
12,1962.0,12,1_V.St,0.0,0.0
13,1962.0,13,1_V.St,0.0,0.0
14,1962.0,14,1_V.St,0.0,0.0
15,1962.0,15,1_V.St,0.0,0.0
16,1962.0,16,1_V.St,0.0,0.0
17,1962.0,17,1_V.St,0.0,0.0
18,1962.0,18,1_V.St,0.0,0.0
19,1962.0,19,1_V.St,0.0,0.0
20,1962.0,20,1_V.St,,
21,1962.0,21,1_V.St,,
22,1962.0,22,1_V.St,,
23,1962.0,23,1_V.St,,
24,1962.0,24,1_V.St,,
25,1962.0,25,1_V.St,,
26,1962.0,26,1_V.St,,
27,1962.0,27,1_V.St,,
28,1962.0,28,1_V.St,,
29,1962.0,29,1_V.St,,
30,1962.0,30,1_V.St,0.0,0.0
31,1962.0,31,1_V.St,0.0,0.0
32,1962.0,32,1_V.St,0.0,0.0
33,1962.0,33,1_V.St,0.0,0.0
34,1962.0,34,1_V.St,0.0,0.0
35,1962.0,35,1_V.St,0.0,0.0
36,1962.0,36,1_V.St,0.0,0.0
37,1962.0,37,1_V.St,0.0,0.0
38,1962.0,38,1_V.St,0.0,0.0
39,1962.0,39,1_V.St,0.0,0.0
40,1962.0,40,1_V.St,0.0,0.0
41,1962.0,41,1_V.St,0.0,0.0
42,1962.0,42,1_V.St,0.0,0.0
43,1962.0,43,1_V.St,0.0,0.0
44,1962.0,44,1_V.St,0.0,0.0
45,1962.0,45,1_V.St,0.0,0.0
46,1962.0,46,1_V.St,0.0,0.0
47,1962.0,47,1_V.St,0.0,0.0
48,1962.0,48,1_V.St,0.0,0.0
49,1962.0,49,1_V.St,0.0,0.0
50,1962.0,50,1_V.St,0.0,0.0
51,1962.0,51,1_V.St,0.0,0.0
52,1962.0,52,1_V.St,0.0,0.0
53,1962.0,53,1_V.St,0.0,0.0
54,1962.0,54,1_V.St,0.0,0.0
55,1962.0,55,1_V.St,0.0,0.0
56,1962.0,56,1_V.St,0.0,0.0
57,1962.0,57,1_V.St,0.0,0.0
58,1962.0,58,1_V.St,0.0,0.0
59,1962.0,59,1_V.St,0.0,0.0
60,1962.0,60,1_V.St,0.0,0.0
424,1963.0,0,1_V.St,0.0,0.0
425,1963.0,1,1_V.St,0.0,0.0
426,1963.0,2,1_V.St,0.0,0.0
427,1963.0,3,1_V.St,0.0,0.0
428,1963.0,4,1_V.St,0.0,0.0
429,1963.0,5,1_V.St,0.0,0.0
430,1963.0,6,1_V.St,0.0,0.0
431,1963.0,7,1_V.St,0.0,0.0
432,1963.0,8,1_V.St,0.0,0.0
433,1963.0,9,1_V.St,0.0,0.0
434,1963.0,10,1_V.St,0.0,0.0
435,1963.0,11,1_V.St,0.0,0.0
436,1963.0,12,1_V.St,0.0,0.0
437,1963.0,13,1_V.St,0.0,0.0
438,1963.0,14,1_V.St,0.0,0.0
439,1963.0,15,1_V.St,0.0,0.0
440,1963.0,16,1_V.St,0.0,0.0
441,1963.0,17,1_V.St,0.0,0.0
442,1963.0,18,1_V.St,0.0,0.0
443,1963.0,19,1_V.St,0.0,0.0
444,1963.0,20,1_V.St,,
445,1963.0,21,1_V.St,,
446,1963.0,22,1_V.St,,
447,1963.0,23,1_V.St,,
448,1963.0,24,1_V.St,,
449,1963.0,25,1_V.St,,
450,1963.0,26,1_V.St,,
451,1963.0,27,1_V.St,,
452,1963.0,28,1_V.St,,
453,1963.0,29,1_V.St,,
454,1963.0,30,1_V.St,0.0,0.0
455,1963.0,31,1_V.St,0.0,0.0
456,1963.0,32,1_V.St,0.0,0.0
457,1963.0,33,1_V.St,0.0,0.0
458,1963.0,34,1_V.St,0.0,0.0
459,1963.0,35,1_V.St,0.0,0.0
460,1963.0,36,1_V.St,0.0,0.0
461,1963.0,37,1_V.St,0.0,0.0
462,1963.0,38,1_V.St,0.0,0.0
463,1963.0,39,1_V.St,0.0,0.0
464,1963.0,40,1_V.St,0.0,0.0
465,1963.0,41,1_V.St,0.0,0.0
466,1963.0,42,1_V.St,0.0,0.0
467,1963.0,43,1_V.St,0.0,0.0
468,1963.0,44,1_V.St,0.0,0.0
469,1963.0,45,1_V.St,0.0,0.0
470,1963.0,46,1_V.St,0.0,0.0
471,1963.0,47,1_V.St,0.0,0.0
472,1963.0,48,1_V.St,0.0,0.0
473,1963.0,49,1_V.St,0.0,0.0
474,1963.0,50,1_V.St,0.0,0.0
475,1963.0,51,1_V.St,0.0,0.0
476,1963.0,52,1_V.St,0.0,0.0
477,1963.0,53,1_V.St,0.0,0.0
478,1963.0,54,1_V.St,0.0,0.0
479,1963.0,55,1_V.St,0.0,0.0
480,1963.0,56,1_V.St,0.0,0.0
481,1963.0,57,1_V.St,0.0,0.0
482,1963.0,58,1_V.St,0.0,0.0
483,1963.0,59,1_V.St,0.0,0.0
484,1963.0,60,1_V.St,0.0,0.0
848,1964.0,0,1_V.St,0.0,0.0
849,1964.0,1,1_V.St,0.0,0.0
850,1964.0,2,1_V.St,0.0,0.0
851,1964.0,3,1_V.St,0.0,0.0
852,1964.0,4,1_V.St,0.0,0.0
853,1964.0,5,1_V.St,0.0,0.0
854,1964.0,6,1_V.St,0.0,0.0
855,1964.0,7,1_V.St,0.0,0.0
856,1964.0,8,1_V.St,0.0,0.0
857,1964.0,9,1_V.St,0.0,0.0
858,1964.0,10,1_V.St,0.0,0.0
859,1964.0,11,1_V.St,0.0,0.0
860,1964.0,12,1_V.St,0.0,0.0
861,1964.0,13,1_V.St,0.0,0.0
862,1964.0,14,1_V.St,0.0,0.0
863,1964.0,15,1_V.St,0.0,0.0
864,1964.0,16,1_V.St,0.0,0.0
865,1964.0,17,1_V.St,0.0,0.0
866,1964.0,18,1_V.St,0.0,0.0
867,1964.0,19,1_V.St,0.0,0.0
868,1964.0,20,1_V.St,,
869,1964.0,21,1_V.St,,
870,1964.0,22,1_V.St,,
871,1964.0,23,1_V.St,,
872,1964.0,24,1_V.St,,
873,1964.0,25,1_V.St,,
874,1964.0,26,1_V.St,,
875,1964.0,27,1_V.St,,
876,1964.0,28,1_V.St,,
877,1964.0,29,1_V.St,,
878,1964.0,30,1_V.St,0.0,0.0
879,1964.0,31,1_V.St,0.0,0.0
880,1964.0,32,1_V.St,0.0,0.0
881,1964.0,33,1_V.St,0.0,0.0
882,1964.0,34,1_V.St,0.0,0.0
883,1964.0,35,1_V.St,0.0,0.0
884,1964.0,36,1_V.St,0.0,0.0
885,1964.0,37,1_V.St,0.0,0.0
886,1964.0,38,1_V.St,0.0,0.0
887,1964.0,39,1_V.St,0.0,0.0
888,1964.0,40,1_V.St,0.0,0.0
889,1964.0,41,1_V.St,0.0,0.0
890,1964.0,42,1_V.St,0.0,0.0
891,1964.0,43,1_V.St,0.0,0.0
892,1964.0,44,1_V.St,0.0,0.0
893,1964.0,45,1_V.St,0.0,0.0
894,1964.0,46,1_V.St,0.0,0.0
895,1964.0,47,1_V.St,0.0,0.0
896,1964.0,48,1_V.St,0.0,0.0
897,1964.0,49,1_V.St,0.0,0.0
898,1964.0,50,1_V.St,0.0,0.0
899,1964.0,51,1_V.St,0.0,0.0
900,1964.0,52,1_V.St,0.0,0.0
901,1964.0,53,1_V.St,0.0,0.0
902,1964.0,54,1_V.St,0.0,0.0
903,1964.0,55,1_V.St,0.0,0.0
904,1964.0,56,1_V.St,0.0,0.0
905,1964.0,57,1_V.St,0.0,0.0
906,1964.0,58,1_V.St,0.0,0.0
907,1964.0,59,1_V.St,0.0,0.0
908,1964.0,60,1_V.St,0.0,0.0
1272,1965.0,0,1_V.St,0.0,0.0
1273,1965.0,1,1_V.St,0.0,0.0
1274,1965.0,2,1_V.St,0.0,0.0
1275,1965.0,3,1_V.St,0.0,0.0
1276,1965.0,4,1_V.St,0.0,0.0
1277,1965.0,5,1_V.St,0.0,0.0
1278,1965.0,6,1_V.St,0.0,0.0
1279,1965.0,7,1_V.St,0.0,0.0
1280,1965.0,8,1_V.St,0.0,0.0
1281,1965.0,9,1_V.St,0.0,0.0
1282,1965.0,10,1_V.St,0.0,0.0
1283,1965.0,11,1_V.St,0.0,0.0
1284,1965.0,12,1_V.St,0.0,0.0
1285,1965.0,13,1_V.St,0.0,0.0
1286,1965.0,14,1_V.St,0.0,0.0
1287,1965.0,15,1_V.St,0.0,0.0
1288,1965.0,16,1_V.St,0.0,0.0
1289,1965.0,17,1_V.St,0.0,0.0
1290,1965.0,18,1_V.St,0.0,0.0
1291,1965.0,19,1_V.St,0.0,0.0
1292,1965.0,20,1_V.St,,
1293,1965.0,21,1_V.St,,
1294,1965.0,22,1_V.St,,
1295,1965.0,23,1_V.St,,
1296,1965.0,24,1_V.St,,
1297,1965.0,25,1_V.St,,
1298,1965.0,26,1_V.St,,
1299,1965.0,27,1_V.St,,
1300,1965.0,28,1_V.St,,
1301,1965.0,29,1_V.St,,
1302,1965.0,30,1_V.St,0.0,0.0
1303,1965.0,31,1_V.St,0.0,0.0
1304,1965.0,32,1_V.St,0.0,0.0
1305,1965.0,33,1_V.St,0.0,0.0
1306,1965.0,34,1_V.St,0.0,0.0
1307,1965.0,35,1_V.St,0.0,0.0
1308,1965.0,36,1_V.St,0.0,0.0
1309,1965.0,37,1_V.St,0.0,0.0
1310,1965.0,38,1_V.St,0.0,0.0
1311,1965.0,39,1_V.St,0.0,0.0
1312,1965.0,40,1_V.St,0.0,0.0
1313,1965.0,41,1_V.St,0.0,0.0
1314,1965.0,42,1_V.St,0.0,0.0
1315,1965.0,43,1_V.St,0.0,0.0
1316,1965.0,44,1_V.St,0.0,0.0
1317,1965.0,45,1_V.St,0.0,0.0
1318,1965.0,46,1_V.St,0.0,0.0
