,Date,Bore Hole,CH4,2,H2S,CO,Comments
0,2010-06-10,N-1,0.0,12.2,0.0,0.0,"Moderate to strong venting, updraft, steam"
1,2010-06-10,N-2,0.0,12.1,0.0,0.0,"Moderate to strong venting, updraft, steam"
2,2010-06-10,N-3,0.05,12.4,0.0,500.0,"Cap on borehole reads N-161 Moderate to strong updraft, venting, and steam"
3,2010-06-10,N-4,0.0,0.0,0.0,0.0,Cap on borehole is concrete shut. No access available.
4,2010-06-10,N-5,0.0,11.3,0.0,92.0,"Upward draft, med. Vent, some steam."
5,2010-06-10,N-6,0.05,9.1,0.0,500.0,Moderate to strong venting and updraft. Some steam. Strong odors
6,2010-06-10,N-7,0.05,9.5,0.0,500.0,Moderate upward draft / strong vent. Some steam noted
7,2010-06-10,N-8,0.1,12.1,0.0,500.0,Moderate updraft / venting / pushing steam
8,2010-06-10,N-9,0.05,11.7,0.0,420.0,"Down draft - no venting, no steam. Hole blocked at 40' depth."
9,2010-06-10,N-70,,,,,Borehole blocked with rocks and dirt. Could not open.
10,2010-07-07,X-2,0.05,12.4,4.0,500.0,Very strong updraft I hot temp of air corning form borehole
11,2010-07-28,N-47,0.0,18.2,0.0,0.0,Slight updraft / no steam. Blocked at 115' depth.
12,2010-07-28,N-43,0.0,16.5,0.0,0.0,Strong updraft / no steam. Blocked at 84' depth.
13,2010-07-28,N-41,,,,,"Can not field locate. Heavy brush, overgrown with vegetation."
14,2010-07-28,N-39,,,,,Cannot conduct a gas test.
0,2010-07-28,N-46,0.0,20.8,0.0,0.0,No smoke / no venting / no updraft
1,2010-07-28,N-45,0.0,,,,Unable to field locate / Thick vegetation / Overgrown with heavy brush
2,2010-07-28,N-48,0.0,20.8,0.0,0.0,No updraft / no venting / no smoke. Blocked at 175' depth
3,2010-07-28,N-49,,,,,New Borehole reading / Plug in - 105 degrees F.
4,2010-07-28,N-42,0.0,20.8,0.0,0.0,"No venting, no smoke, no updraft. Blocked at 148' depth."
5,2010-07-07,N-7,0.0,"20,4",0.0,0.0,"New borehole. No updraft, no steam. Blocked at 190' depth."
6,2010-07-07,N-53,0.0,19.4,0.0,32.0,"Strong updraft, visible steam. Blocked at 115' depth."
7,2010-07-07,N-28,0.0,20.8,0.0,0.0,No updraft / no steam. Wire caught at 100'. Blocked at a 140' depth
8,2010-07-07,N-69,,,,,"Borehole blocked with concrete, unable to access for gas test and temps."
9,2010-07-07,X-6,,,,,Unable to locate. Believed to be covered with pavement.
10,2010-07-07,X-1,,,,,Unable to locate. Believed to be backfilled over and buried.
11,2010-07-07,N-21,,,,,Borehole was found to be backfilled with concrete to surface.
12,2010-07-07,N-60,,,,,Cannot access. Water filled near top of borehole.
13,2010-07-01,N-38,,,,,Cannot access borehole.
14,2010-07-01,N-27,0.0,20.8,0.0,0.0,Slight updraft. New blockage at 140' depth.
0,2010-07-01,N-38a,0.0,19.9,0.0,0.0,Strong updraft. Borehole labled x-10 on metal cap. Blocked at 89' depth.
1,2010-07-01,N-33,,,,,Unable to access borehole for gas test. Plug for temperature reading
2,2010-07-01,N-35,0.0,19.5,0.0,0.0,Blocked at 77-78' depth
3,2010-07-01,N-54,0.0,13.2,0.0,0.0,New blockage at 5' depth
4,2010-07-01,N-56,0.0,13.3,0.0,22.0,Strong updraft. Located near Mr Womers residence. Blocked at 64' depth.
5,2010-07-01,X-26,0.0,13.1,0.0,40.0,"Strong updraft, venting some steam. New blockage at 37' depth."
6,2010-06-18,N-10,0.0,20.3,0.0,0.0,"No draft / no venting / no steam. Bottom appears to be at +173' depth. Able to drop probe beyond the 35-38' depth. (Depth of B4 blocked). At 65-70', probe was caught on something, able to break through."
7,2010-06-18,N-11,0.0,20.3,0.0,0.0,Moderate draft / no steam. New blockage encountered at 135' depth.
8,2010-06-18,N-12,,,,,Cannot access borehole. Water visible inside borehole through cap (need cutting torches to open access borehole).
9,2010-06-18,N-13,0.0,20.2,0.0,0.0,Slight updraft / venting. Visible steam. New blockage at 145' depth.
10,2010-06-18,N-14,0.0,18.0,0.0,0.0,Slight to moderate updraft. No steam visible. New visible at 44' depth.
11,2010-06-18,N-15,0.0,19.7,0.0,0.0,Slight updraft / cool air. No steam.
12,2010-06-18,N-18,0.0,20.8,0.0,0.0,"Slight updraft, no steam. New blockage at 200'."
13,2010-06-18,N-16,0.0,18.0,0.0,0.0,"Slight updraft, no steam."
1,2010-06-18,N-19,0.0,20.8,0,0.0,"No updraft or steam, slight downdraft. Blocked at 214' depth."
2,2010-06-18,N-20,0.0,20.8,0,0.0,"No updraft, no steam, able to remove metal cap. Hole large enough to fit gas monitor tube, but otherwise blocked by bolts. Hole continues past 200'."
3,2010-06-18,N-50,,,,,Wire plug (probe) set-up. Cannot determine draft or steam or take gas test.
