,Date,Bore Hole,DepthFeet,Temp,Comments
1,2011-07-05 00:00:00,N-7,10,168.0,"Up draft, strong vent, steam vapors, and
blocked at 136' depth."
2,2011-07-05 00:00:00,N-7,50,174.0,
3,2011-07-05 00:00:00,N-7,100,182.0,
4,2011-07-05 00:00:00,N-7,125,151.0,
5,2011-07-05 00:00:00,N-7,135,151.0,
6,2011-07-05 00:00:00,N-6,10,162.0,Updraft and venting
7,2011-07-05 00:00:00,N-6,50,168.0,
8,2011-07-05 00:00:00,N-6,100,172.0,
9,2011-07-05 00:00:00,N-6,125,172.0,
10,2011-07-05 00:00:00,N-6,135,198.0,
11,2011-07-05 00:00:00,N-5,10,132.0,"Updraft, mild vent, no steam, and
blocked around 98'-99' depths."
12,2011-07-05 00:00:00,N-5,25,158.0,
13,2011-07-05 00:00:00,N-5,50,162.0,
14,2011-07-05 00:00:00,N-5,75,166.0,
15,2011-07-05 00:00:00,N-5,99,168.0,
16,2011-07-06 00:00:00,N-9,10,97.0,"No vent or steam, a slight down draft,
and blocked at 38' depth."
17,2011-07-06 00:00:00,N-9,20,143.0,
18,2011-07-06 00:00:00,N-9,38,181.0,
19,2011-07-06 00:00:00,N-70,-,181.0,"Inaccessible, concrete in borehole"
20,2011-07-06 00:00:00,N-10,10,52.0,"No draft, vent, or steam. A lot of
moisture on probe."
21,2011-07-06 00:00:00,N-10,25,59.0,
22,2011-07-06 00:00:00,N-10,50,109.0,
23,2011-07-06 00:00:00,N-10,75,130.0,
24,2011-07-06 00:00:00,N-10,100,146.0,
25,2011-07-06 00:00:00,N-10,125,191.0,
26,2011-07-06 00:00:00,N-10,150,206.0,
27,2011-07-06 00:00:00,N-10,170,403.0,
28,2011-07-06 00:00:00,N-8,-,403.0,"New cap, welded shut"
29,2011-07-07 00:00:00,N-11,10,68.0,"Moderate updraft, no steam, and
blocked at 134' depth"
30,2011-07-07 00:00:00,N-11,50,111.0,
31,2011-07-07 00:00:00,N-11,100,136.0,
32,2011-07-07 00:00:00,N-11,134,170.0,
33,2011-07-07 00:00:00,N-12,-,170.0,"Inaccessible cap, needs cutting torch"
34,2011-07-07 00:00:00,N-13,10,92.0,"Slight updraft, venting stream, and
blocked at 143' depth"
35,2011-07-07 00:00:00,N-13,25,94.0,
36,2011-07-07 00:00:00,N-13,50,99.0,
37,2011-07-07 00:00:00,N-13,75,106.0,
38,2011-07-07 00:00:00,N-13,100,112.0,
39,2011-07-07 00:00:00,N-13,145,119.0,
40,2011-07-07 00:00:00,N-14,10,70.0,"Slight updraft, no steam, and blocked at
43' depth"
41,2011-07-07 00:00:00,N-14,20,71.0,
42,2011-07-07 00:00:00,N-14,43,79.0,
43,2011-07-12 00:00:00,70,-,79.0,Inaccessible
1,2011-07-12 00:00:00,15,10,71.0,Slight updraft and no steam
2,2011-07-12 00:00:00,15,50,88.0,
3,2011-07-12 00:00:00,15,100,96.0,
4,2011-07-12 00:00:00,15,137,95.0,
5,2011-07-12 00:00:00,18,10,62.0,"Slight updraft, no steam, and blocked at
about 200' depth"
6,2011-07-12 00:00:00,18,50,65.0,
7,2011-07-12 00:00:00,18,100,71.0,
8,2011-07-12 00:00:00,18,150,88.0,
9,2011-07-12 00:00:00,18,200,91.0,
10,2011-07-13 00:00:00,N-28,10,76.0,"No draft or steam and blocked at 140'
depth"
11,2011-07-13 00:00:00,N-28,50,122.0,
12,2011-07-13 00:00:00,N-28,100,163.0,
13,2011-07-13 00:00:00,N-28,140,166.0,
14,2011-07-13 00:00:00,N-53,10,102.0,Strong updraft and venting steam
15,2011-07-13 00:00:00,N-53,25,116.0,
16,2011-07-13 00:00:00,N-53,50,149.0,
17,2011-07-13 00:00:00,N-53,75,153.0,
18,2011-07-13 00:00:00,N-53,100,136.0,
19,2011-07-14 00:00:00,N-54,5,109.0,"Slight updraft, venting, steam, and blocked at 5' depth"
20,2011-07-14 00:00:00,N-16,10,63.0,Slight updraft and no steam
21,2011-07-14 00:00:00,N-16,25,62.0,
22,2011-07-14 00:00:00,N-16,50,68.0,
23,2011-07-14 00:00:00,N-16,70,73.0,
24,2011-07-19 00:00:00,N-19,10,63.0,"No updraft or steam and blocked at 214'
depth"
25,2011-07-19 00:00:00,N-19,50,68.0,
26,2011-07-19 00:00:00,N-19,100,75.0,
27,2011-07-19 00:00:00,N-19,150,88.0,
28,2011-07-19 00:00:00,N-19,200,96.0,
29,2011-07-19 00:00:00,N-19,214,97.0,
30,2011-07-19 00:00:00,N-20,10,59.0,No updraft or steam
31,2011-07-19 00:00:00,N-20,50,64.0,
32,2011-07-19 00:00:00,N-20,100,85.0,
33,2011-07-19 00:00:00,N-20,150,88.0,
34,2011-07-19 00:00:00,N-20,200,96.0,
35,2011-07-20 00:00:00,N-50,-,105.0,Unknown depth of thermocouple
36,2011-07-20 00:00:00,N-38,-,105.0,"Inaccessible cap, needs cutting torch"
37,2011-07-22 00:00:00,N-27,10,61.0,Slight updraft and blocked at 140' depth
38,2011-07-22 00:00:00,N-27,50,62.0,
39,2011-07-22 00:00:00,N-27,100,75.0,
40,2011-07-22 00:00:00,N-27,140,79.0,
1,2011-07-22 00:00:00,N-38A / X-10,10,82.0,"Strong updraft and blocked at 89' depth.
Different name on BH then map. Marked
X-10 on cap, N38A on map."
2,2011-07-22 00:00:00,N-38A / X-10,25,86.0,
3,2011-07-22 00:00:00,N-38A / X-10,50,90.0,
4,2011-07-22 00:00:00,N-38A / X-10,75,91.0,
5,2011-07-22 00:00:00,N-38A / X-10,89,95.0,
6,2011-07-25 00:00:00,N-33,-,124.0,Depth of thermocouple questionable
7,2011-07-25 00:00:00,N-35,10,67.0,"No draft and blocked around 76'-77'
depth"
8,2011-07-25 00:00:00,N-35,25,72.0,
9,2011-07-25 00:00:00,N-35,50,79.0,
10,2011-07-25 00:00:00,N-35,75,89.0,
11,2011-07-27 00:00:00,N-54,10,109.0,"Blocked at 5'. Slight updraft. Venting
Steam"
12,2011-07-27 00:00:00,N-56,10,105.0,Strong updraft
13,2011-07-27 00:00:00,N-56,25,118.0,
14,2011-07-27 00:00:00,N-56,50,162.0,
15,2011-07-27 00:00:00,N-56,60,160.0,
16,2011-07-27 00:00:00,X-26,10,125.0,Blocked at 37'. Strong updraft. Venting
17,2011-07-27 00:00:00,X-26,25,162.0,
18,2011-07-27 00:00:00,X-26,33,161.0,
19,2011-07-28 00:00:00,X-2,10,170.0,"Very strong updraft. Hot temperatures
coming from BH. Hot water bubbles
coming out of BH"
20,2011-07-28 00:00:00,X-2,25,215.0,
21,2011-07-28 00:00:00,X-2,50,181.0,
22,2011-07-28 00:00:00,X-2,75,278.0,
23,2011-07-28 00:00:00,X-2,100,262.0,
24,2011-08-03 00:00:00,N-47,10,70.0,"Blocked at 115'. Slight updraft. No
steam"
25,2011-08-03 00:00:00,N-47,25,77.0,
26,2011-08-03 00:00:00,N-47,50,84.0,
27,2011-08-03 00:00:00,N-47,75,91.0,
28,2011-08-03 00:00:00,N-47,100,98.0,
29,2011-08-03 00:00:00,N-47,115,99.0,
30,2011-08-03 00:00:00,N-43,10,93.0,"Strong updraft. No steam. Blocked at
83'"
31,2011-08-03 00:00:00,N-43,25,92.0,
32,2011-08-03 00:00:00,N-43,50,88.0,
33,2011-08-03 00:00:00,N-43,75,88.0,
34,2011-08-03 00:00:00,N-43,84,87.0,
35,2011-08-03 00:00:00,N-41,-,87.0,Could not be found in field
36,2011-08-03 00:00:00,N-39,-,86.0,Old plug in
37,2011-08-04 00:00:00,N-46,10,82.0,"No steam. No venting. No updraft.
Blocked at 89'-90'"
38,2011-08-04 00:00:00,N-46,25,86.0,
39,2011-08-04 00:00:00,N-46,50,86.0,
40,2011-08-04 00:00:00,N-46,75,85.0,
41,2011-08-04 00:00:00,N-46,90,83.0,
42,2011-08-04 00:00:00,N-45,-,83.0,Could not be found infield
1,2011-08-04 00:00:00,N-48,10,59.0,No venting. No updraft. Blocked at 175'
2,2011-08-04 00:00:00,N-48,50,77.0,
3,2011-08-04 00:00:00,N-48,100,85.0,
4,2011-08-04 00:00:00,N-48,125,89.0,
5,2011-08-04 00:00:00,N-48,175,103.0,
6,2011-08-04 00:00:00,N-42,10,80.0,"No venting. No steam. No updraft.
Blocked at 140'"
7,2011-08-04 00:00:00,N-42,25,60.0,
8,2011-08-04 00:00:00,N-42,50,78.0,
9,2011-08-04 00:00:00,N-42,100,82.0,
10,2011-08-04 00:00:00,N-42,125,87.0,
11,2011-08-04 00:00:00,N-42,140,92.0,
12,2011-08-08 00:00:00,62,-,92.0,No temperatures recorded
13,2011-08-08 00:00:00,53,10,96.0,"Strong updraft. Visible steam. Blocked
at 106'"
14,2011-08-08 00:00:00,53,25,112.0,
15,2011-08-08 00:00:00,53,50,143.0,
16,2011-08-08 00:00:00,53,75,149.0,
17,2011-08-08 00:00:00,53,100,127.0,
18,2011-08-08 00:00:00,28,10,82.0,No draft. No steam. Blockage at 140'
19,2011-08-08 00:00:00,28,50,127.0,
20,2011-08-08 00:00:00,28,100,153.0,
21,2011-08-08 00:00:00,28,140,159.0,
22,2011-08-09 00:00:00,N-69,-,159.0,"BH is blocked with concrete. Unable to
access. Venting steam around casing"
23,2011-08-09 00:00:00,N-68,-,159.0,"Blocked with rocks at about 2' depth.
Venting through loose rocks"
24,2011-08-10 00:00:00,X-6,-,159.0,"BH has been paved over for 8-10 years.
Venting within the area of BH on 8/9/11"
25,2011-08-10 00:00:00,X-1,-,159.0,BH has been backfilled by unknown
26,2011-08-10 00:00:00,N-21,-,159.0,BH has been backfilled
27,2011-08-10 00:00:00,N-6,-,159.0,"Water filled near top of BH. Same since
12/2005"
28,2011-08-10 00:00:00,62,10,78.0,Probe got wet. Eratic reading
29,2011-08-10 00:00:00,62,50,104.0,
30,2011-08-10 00:00:00,62,100,62.0,
31,2011-08-10 00:00:00,62,150,62.0,
32,2011-08-10 00:00:00,62,190,62.0,
